NC_045512.2,China,B,complete
MZ798798.1,South Korea,AY.69,partial
OR506575.1,Iraq,unclassifiable,partial
OR506576.1,Iraq,BA.1,partial
OR506577.1,Iraq,BA.2,partial
OR506578.1,Iraq,BA.2,partial
OR507674.1,Iran,unclassifiable,partial
OR507675.1,Iran,unclassifiable,partial
OR507676.1,Iran,unclassifiable,partial
OR507677.1,Iran,unclassifiable,partial
OR507678.1,Iran,unclassifiable,partial
OR507679.1,Iran,unclassifiable,partial
OR507680.1,Iran,unclassifiable,partial
OR507681.1,Iran,unclassifiable,partial
OR507682.1,Iran,unclassifiable,partial
OR507683.1,Iran,unclassifiable,partial
OR507684.1,Iran,unclassifiable,partial
OR507685.1,Iran,unclassifiable,partial
OR507686.1,Iran,unclassifiable,partial
OR507687.1,Iran,unclassifiable,partial
OR507688.1,Iran,unclassifiable,partial
OR485682.1,Kazakhstan,XBV,partial
OR485702.1,Kazakhstan,XBB.1.9.1,partial
OR485705.1,Kazakhstan,XBB.1.9,partial
OR485708.1,Kazakhstan,XBB.1.9.1,partial
OR485906.1,Kazakhstan,XBB.1.14,partial
OR485907.1,Kazakhstan,XBB.1.5,partial
OR485908.1,Kazakhstan,XBB.1.9.1,partial
OR492294.1,Iraq,unclassifiable,partial
OR492319.1,Thailand,XBB.1.16,partial
OR492320.1,Thailand,XBB.1.16.5,partial
OR492321.1,Thailand,XBB.1.16,partial
OR492322.1,Thailand,GE.1,partial
OR492323.1,Thailand,XBB.1.16.2,partial
OR492324.1,Thailand,XBB.1.16,partial
OR492325.1,Thailand,XBB.1.16,partial
OR492326.1,Thailand,XBB.1.16.1,partial
OR492327.1,Thailand,XBB.1.16.5,partial
OR492328.1,Thailand,XBB.2.3.2,partial
OR492329.1,Thailand,XBB.2.3.2,partial
OR492330.1,Thailand,GR.1,partial
OR492331.1,Thailand,XBB.1.16.5,partial
OR492332.1,Thailand,XBB.1.16,partial
OR492333.1,Thailand,XBB.1.16.1,partial
OR492334.1,Thailand,GR.1,partial
OR492335.1,Thailand,XBB.1.16.1,partial
OR492336.1,Thailand,FL.4,partial
OR492337.1,Thailand,XBB.1.16,partial
OR492338.1,Thailand,XBB.1.16.1,partial
OR492339.1,Thailand,FL.4,partial
OR492340.1,Thailand,XBB.1.16,partial
OR492341.1,Thailand,XBB.1.16,partial
OR492342.1,Thailand,FL.4,partial
OR492343.1,Thailand,XBB.2.3.3,partial
OR492344.1,Thailand,XBB.2.3.2,partial
OR492345.1,Thailand,FL.4,partial
OR492346.1,Thailand,XBB.1.16,partial
