locus_tag	ftype	length_bp	gene	EC_number	COG	product
SPN_0140_00001	CDS	435				hypothetical protein
SPN_0140_00002	CDS	186				hypothetical protein
SPN_0140_00003	CDS	768	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
SPN_0140_00004	CDS	867	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
SPN_0140_00005	CDS	1368	accC	6.3.4.14	COG0439	Biotin carboxylase
SPN_0140_00006	CDS	423	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
SPN_0140_00007	CDS	486	accB			Biotin carboxyl carrier protein of acetyl-CoA carboxylase
SPN_0140_00008	CDS	1236	fabF	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
SPN_0140_00009	CDS	732	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
SPN_0140_00010	CDS	921	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
SPN_0140_00011	CDS	975		1.6.5.11	COG2070	NADH:quinone reductase
SPN_0140_00012	CDS	225	acpA		COG0236	Acyl carrier protein
SPN_0140_00013	CDS	975	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
SPN_0140_00014	CDS	435				hypothetical protein
SPN_0140_00015	CDS	786	fabM	5.3.3.14	COG1024	Trans-2-decenoyl-[acyl-carrier-protein] isomerase
SPN_0140_00016	CDS	1365	yclM	2.7.2.4	COG0527	Aspartokinase 3
SPN_0140_00017	CDS	372				hypothetical protein
SPN_0140_00018	CDS	1275	serS	6.1.1.11		Serine--tRNA ligase
SPN_0140_00019	CDS	900				hypothetical protein
SPN_0140_00020	CDS	549				hypothetical protein
SPN_0140_00021	CDS	1323	alsT		COG1115	Amino-acid carrier protein AlsT
SPN_0140_00022	CDS	2337	mutS2	3.1.-.-		Endonuclease MutS2
SPN_0140_00023	CDS	549				hypothetical protein
SPN_0140_00024	CDS	303				hypothetical protein
SPN_0140_00025	CDS	882	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
SPN_0140_00026	CDS	615	spsB	3.4.21.89		Signal peptidase IB
SPN_0140_00027	CDS	2367	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
SPN_0140_00028	CDS	1284	tig	5.2.1.8	COG0544	Trigger factor
SPN_0140_00029	CDS	393				hypothetical protein
SPN_0140_00030	CDS	1023				hypothetical protein
SPN_0140_00031	CDS	906				hypothetical protein
SPN_0140_00032	CDS	240				hypothetical protein
SPN_0140_00033	CDS	633	liaR		COG2197	Transcriptional regulatory protein LiaR
SPN_0140_00034	CDS	996				hypothetical protein
SPN_0140_00035	CDS	699	liaF		COG4758	Protein LiaF
SPN_0140_00036	CDS	1011	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
SPN_0140_00037	CDS	1008		2.7.4.2		Phosphomevalonate kinase
SPN_0140_00038	CDS	954				hypothetical protein
SPN_0140_00039	CDS	879	galK_1	2.7.1.6		Galactokinase
SPN_0140_00040	CDS	330				hypothetical protein
SPN_0140_00041	CDS	453				hypothetical protein
SPN_0140_00042	CDS	1233				hypothetical protein
SPN_0140_00043	CDS	1017				hypothetical protein
SPN_0140_00044	CDS	690	arlR_1		COG0745	Response regulator ArlR
SPN_0140_00045	CDS	1425	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
SPN_0140_00046	CDS	1395	mapZ			Mid-cell-anchored protein Z
SPN_0140_00047	CDS	1158	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
SPN_0140_00048	CDS	330	gpsB		COG3599	Cell cycle protein GpsB
SPN_0140_00049	CDS	528				hypothetical protein
SPN_0140_00050	CDS	597	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
SPN_0140_00051	CDS	2166	ponA		COG0744	Penicillin-binding protein 1A
SPN_0140_00052	CDS	5310		3.2.1.97		Endo-alpha-N-acetylgalactosaminidase
SPN_0140_00053	CDS	1983	sarA_1		COG4166	Oligopeptide-binding protein SarA
SPN_0140_00054	CDS	855	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
SPN_0140_00055	CDS	1047	rmlB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
SPN_0140_00056	CDS	594	rfbC	5.1.3.-		Protein RmlC 
SPN_0140_00057	CDS	870	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
SPN_0140_00058	CDS	1089	mnaA	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
