locus_tag	ftype	length_bp	gene	EC_number	COG	product
EFGH_00001	CDS	648	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
EFGH_00002	CDS	378				hypothetical protein
EFGH_00003	CDS	792				hypothetical protein
EFGH_00004	CDS	2367	sspH2	2.3.2.27	COG4886	E3 ubiquitin-protein ligase SspH2
EFGH_00005	tRNA	77				tRNA-Pro(ggg)
EFGH_00006	CDS	1761	yejM		COG3083	Inner membrane protein YejM
EFGH_00007	CDS	228				hypothetical protein
EFGH_00008	CDS	1008	yejK_1		COG3081	Nucleoid-associated protein YejK
EFGH_00009	CDS	621				hypothetical protein
EFGH_00010	CDS	285	rplY		COG1825	50S ribosomal protein L25
EFGH_00011	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
EFGH_00012	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
EFGH_00013	CDS	1191	bcr			Bicyclomycin resistance protein
EFGH_00014	CDS	345	yejG			putative protein YejG
EFGH_00015	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
EFGH_00016	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
EFGH_00017	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
EFGH_00018	CDS	1806				hypothetical protein
EFGH_00019	CDS	1557	pdeN_1	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
EFGH_00020	CDS	573	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
EFGH_00021	CDS	720	lpxT	2.7.4.29	COG0671	Lipid A 1-diphosphate synthase
EFGH_00022	CDS	987	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
EFGH_00023	CDS	573	yeiP		COG0231	Elongation factor P-like protein
EFGH_00024	CDS	255				hypothetical protein
EFGH_00025	CDS	666				hypothetical protein
EFGH_00026	CDS	1182	setB			Sugar efflux transporter B
EFGH_00027	CDS	1131	fruB		COG1925	Multiphosphoryl transfer protein
EFGH_00028	CDS	939	lacC_1	2.7.1.144		Tagatose-6-phosphate kinase
EFGH_00029	CDS	1689	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
EFGH_00030	CDS	858	nfo	3.1.21.2	COG0648	Endonuclease 4
EFGH_00031	CDS	1050				hypothetical protein
EFGH_00032	CDS	864	cmpR		COG0583	HTH-type transcriptional activator CmpR
EFGH_00033	CDS	1470	lysP		COG0833	Lysine-specific permease
EFGH_00034	CDS	114				hypothetical protein
EFGH_00035	CDS	1992	cirA		COG4771	Colicin I receptor
EFGH_00036	CDS	375	uhpC_1		COG2271	Membrane sensor protein UhpC
EFGH_00037	CDS	894	uhpC_2		COG2271	Membrane sensor protein UhpC
EFGH_00038	CDS	888	serB2	3.1.3.3	COG0560	Phosphoserine phosphatase SerB2
EFGH_00039	CDS	1368	sdaA_1	4.3.1.17	COG1760	L-serine dehydratase 1
EFGH_00040	CDS	390				hypothetical protein
EFGH_00041	CDS	858	yeiG	3.1.2.12	COG0627	S-formylglutathione hydrolase YeiG
EFGH_00042	CDS	669	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
EFGH_00043	CDS	1161				hypothetical protein
EFGH_00044	CDS	1023	galS		COG1609	HTH-type transcriptional regulator GalS
EFGH_00045	CDS	999	mglB		COG1879	D-galactose-binding periplasmic protein
EFGH_00046	CDS	474	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
EFGH_00047	CDS	1098	mglA_2	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
EFGH_00048	CDS	1011	mglC		COG4211	Galactoside transport system permease protein MglC
